date,price
20170719,340
20170722,340
20170730,340
20170821,349
20170822,349
20170827,347
20170910,347
20170911,333
20170912,342
20170914,333
20170915,333
20170917,333
20170918,340
20170919,349
20170920,347
20170921,333
20170922,333
20170923,333
20170924,347
20170925,333
20170926,342
20170928,333
20170929,347
20171001,347
20171002,333
20171003,333
20171003,347
20171004,342
20171006,342
20171008,340
20171009,347
20171010,347
20171011,333
20171014,333
20171015,333
20171016,333
20171017,333
20171018,333
20171020,347
20171021,333
20171022,333
20171023,347
20171024,333
20171025,333
20171026,333
20171027,333
20171028,333
20171029,333
20171030,333
20171031,333
20171101,333
20171030,333
20171031,333
20171101,333
20171102,333
20171103,347
20171104,333
20171105,333
20171106,340
20171107,333
20171108,333
20171109,333
20171110,333
20171111,340
20171113,333
20171114,333
20171118,333
20171122,333
20171125,340
20171126,333
20171127,333
20171128,333
20171204,333
20171205,333
20171206,333
20171207,333
20171208,333
20171209,333
20171210,333
20171211,333
20171212,333
20171213,333
20171214,340
20171215,342
20171216,333
20171217,340
20180101,333
20180102,340
20180105,333
20180106,333
20180107,333
20180108,333
20180109,333
20180110,333
20180111,342
20180112,333
20180113,333
20180114,333
20180115,333
20180116,333
20180117,333
20180118,333
20180119,333
20180120,333
20180121,333
20180122,333
20180123,333
20180124,333
20180125,333
20180126,333
20180127,333
20180128,333
20180129,333
20180130,333
20180131,333
